,news_id,title,publish_time,location,category,latitude,longitude
0,205741,觀塘繞道往旺角方向，通往太子道東支路的交通意外仍未清理，唯一行車線封閉，龍尾：MEGA BOX。,2019-11-16 20:42:00,MEGA,blocked,22.3198733,114.2062684
1,394188,觀塘繞道往油塘方向，近宏利大樓快線有交通意外，龍尾：MegaBox。,2019-11-29 16:11:00,Megabox,accident,22.31985255,114.208503507516
2,458963,觀塘繞道往油塘方向，近觀塘商貿區支路擠塞，龍尾：MegaBox。,2019-12-06 18:15:00,Megabox,congestion,22.31985255,114.208503507516
3,390921,觀塘繞道往油塘方向，近觀塘碼頭一段慢車，龍尾：Megabox。,2019-11-28 10:00:00,Megabox,busy,22.31985255,114.208503507516
4,551462,較早前大老山隧道往沙田方向，管道入口的壞車已拖走，龍尾：Megabox。,2019-12-17 17:31:00,Megabox,busy,22.31985255,114.208503507516
5,103123,屯門鄉會路往元朗方向，近新墟段的部分行車線受阻，一帶擠塞，龍尾：VCITY。,2019-11-10 17:00:00,VCITY,congestion,22.3953878,113.9717444
6,103258,屯門鄉事會路來回方向，近VCITY的一段行車受阻。,2019-11-10 17:18:00,VCITY,info,22.3953878,113.9717444
7,104433,【新界區公眾活動】屯門鄉會路往元朗方向，近新墟段的部分行車線受阻，一帶擠塞，龍尾：VCITY。,2019-11-10 17:00:00,VCITY,congestion,22.3953878,113.9717444
8,191259,【輕鐵】20:00後維持有限度服務：路綫610、615只來往屯門碼頭站至洪水橋站。特別班505綫來往屯門碼頭經兆禧站至三聖站。其他路綫暫停服務。,2019-11-15 17:03:00,三聖,service paused,22.3850525,113.9722011
9,103878,【港鐵巴士】因應屯門區公眾活動，港鐵巴士服務作出調整： K51只維持富泰至兆康，及三聖至大欖；K52只維持龍鼓灘至蝴蝶站。,2019-11-10 18:38:00,三聖,info,22.3850525,113.9722011
10,137409,【輕鐵】因天水圍區有突發情況，輕鐵服務調整如下：761P綫改道行駛，只來往元朗站至塘坊村站。751綫改道行駛，只來往洪水橋站至三聖站，在屯門區將由市中心改經安定、兆麟。,2019-11-12 19:35:00,三聖,info,22.3850525,113.9722011
11,191024,【輕鐵】今晚8時後維持有限度服務：路綫610、615只來往屯門碼頭站至洪水橋站。特別班505綫來往屯門碼頭經兆禧站至三聖站。其他路綫暫停服務。,2019-11-15 17:03:00,三聖,service paused,22.3850525,113.9722011
12,66930,屯門公路往元朗方向，近新墟段擠塞，龍尾：三聖。,2019-11-06 17:45:00,三聖,congestion,22.3850525,113.9722011
13,226,屯門公路往元朗方向，近新墟慢線有交通意外，龍尾：三聖。,2019-10-30 17:11:00,三聖,accident,22.3850525,113.9722011
14,531671,較早前元朗公路往上水方向，近兆康的交通意外已清理，龍尾：三聖。,2019-12-14 14:53:00,三聖,accident,22.3850525,113.9722011
15,236554,屯門公路往元朗方向，近新墟街市多車，龍尾：三聖。,2019-11-19 18:19:00,三聖,busy,22.3850525,113.9722011
16,237036,屯門公路往元朗方向，近新墟街市多車，龍尾：三聖。,2019-11-19 18:35:00,三聖,busy,22.3850525,113.9722011
17,301687,屯門公路往元朗方向，近新墟擠塞，龍尾：三聖。,2019-11-23 18:35:00,三聖,congestion,22.3850525,113.9722011
18,550673,上亞厘畢道往堅道方向擠塞，影響紅棉路上山慢駛。,2019-12-17 16:33:00,上亞厘畢道,congestion,22.2785685,114.1542946
19,41733,上亞厘畢道晚間工程：由22:00至星期二(5/11)06:00，花園道落山通往上亞厘畢道的支路封閉，往西營盤方向的車輛須改道行駛，請留意現場指示。,2019-11-04 14:10:00,上亞厘畢道,blocked,22.2785685,114.1542946
20,46095,中區上亞厘畢道道路工程：由22:00至星期二(5/11)06:00，花園道落山通往上亞厘畢道的支路將會臨時封閉，往西營盤方向的車輛須改道行駛，請留意現場指示。,2019-11-04 20:05:00,上亞厘畢道,blocked,22.2785685,114.1542946
21,50144,中區上亞厘畢道道路工程：直至 06:00，花園道落山通往上亞厘畢道的支路將會臨時封閉，往西營盤方向的車輛須改道行駛。,2019-11-05 00:05:00,上亞厘畢道,blocked,22.2785685,114.1542946
22,601872,較早前大埔公路往上水方向，近沙田港鐵站慢線的交通意外已清理，車龍有待消散。,2020-01-03 14:56:00,上水,accident,22.5046671,114.11004
23,603782,上水公眾遊行：巴士路線270、273B、273D暫停服務。,2020-01-05 12:52:00,上水,service paused,22.5046671,114.11004
24,603951,上水公眾遊行：部分新運路、龍琛路及龍運街封閉。,2020-01-05 16:03:00,上水,blocked,22.5046671,114.11004
